news_id;title;publication_date;image_key;featured_image_filename;image_source_url;image_source_type;image_match_status;image_notes
DRUPAL-181;Anna Innac awarded at MetroSea 2018;2018-10-12;drupal-181;news-drupal-181.jpg;https://www.metrosea.org/history;official_event_page;candidate_found;"Use MetroSea 2018 official event imagery; if an Anna Innac award photo is recovered, prefer that."
DRUPAL-178;PANG partecipation to MetroSea 2018 conference;2018-10-11;drupal-178;news-drupal-178.jpg;https://www.metrosea.org/history;official_event_page;candidate_found;MetroSea 2018 official event imagery.
DRUPAL-175;PANG partecipation in ENC 2018 conference;2018-06-20;drupal-175;news-drupal-175.jpg;https://enc-series.org/encseries/;official_event_page;candidate_found;Use ENC 2018 archive branding/event image.
DRUPAL-177;PANG partecipation to MetroSea 2017 conference;2017-10-14;drupal-177;news-drupal-177.jpg;https://www.metrosea.org/history;official_event_page;candidate_found;MetroSea 2017 official event imagery from Naples edition.
DRUPAL-141;PANG partecipation in TRANSNAV 2017 conference;2017-06-26;drupal-141;news-drupal-141.jpg;https://www.transnav.eu/;official_event_page;candidate_found;Use TransNav 2017 official conference imagery/branding.
DRUPAL-139;Anna Innac successfully defended her PhD exam;2017-06-16;drupal-139;news-drupal-139.jpg;https://www.pang.uniparthenope.it/;legacy_pang_page;candidate_found;No reliable public defence photo found. Use Anna Innac’s PANG portrait only if rights/consent are confirmed.
DRUPAL-132;Umberto Papa won 2015 Finmeccanica Award;2015-11-02;drupal-132;news-drupal-132.jpg;https://www.pang.uniparthenope.it/;legacy_pang_page;candidate_found;No reliable award image identified in public search. Use Umberto Papa portrait or original award photo if available.
DRUPAL-121;Ciro Gioia won 2014 AUTEC Award;2014-10-16;drupal-121;news-drupal-121.jpg;https://www.pang.uniparthenope.it/;legacy_pang_page;candidate_found;No reliable AUTEC award photo identified. Use Ciro Gioia portrait or original award image if available.
DRUPAL-117;ESA awarded PANG as one of the first 50 users of Galileo Systems;2014-07-10;drupal-117;news-drupal-117.jpg;https://www.esa.int/ESA_Multimedia/Images/2014/07/Galileo_satellite2;official_esa_image;candidate_found;"Official ESA Galileo satellite image; ESA Standard Licence applies."
DRUPAL-110;Ciro Gioia Successfully Completes PhD;2014-04-15;drupal-110;news-drupal-110.jpg;https://www.pang.uniparthenope.it/;legacy_pang_page;candidate_found;No reliable public PhD-completion photo identified. Use Ciro Gioia portrait if appropriate.
DRUPAL-92;PANG and JRC’s IPSC Perform a Complete Navigation Solution using only Galileo;2013-03-13;drupal-92;news-drupal-92.jpg;https://www.esa.int/ESA_Multimedia/Images/2014/07/Galileo_satellite2;official_esa_image;candidate_found;Galileo satellite image is contextually suitable for this Galileo-only navigation news.
DRUPAL-88;News are available;2013-03-09;drupal-88;news-drupal-88.jpg;https://pang.uniparthenope.it/;legacy_pang_page;candidate_found;Generic PANG visual/logo recommended because this is a site-availability announcement.
