publication_id,year,date,title,authors,pang_faculty_authors,document_type,source_title,volume,issue,pages,doi,scopus_eid,scopus_url,source_url,verification_status,verification_evidence,include_in_master,notes
scopus-10-1109-igarss55030-2025-11243038,2025,2025-08,An Open-Access Cross-Modal Forest Benchmark Training Dataset With Sentinel-1 and Lidar data,Hossein Aghababaei; Giampaolo Ferraioli; Gilda Schirinzi; Erkki Tomppo; Jaan Praks,Giampaolo Ferraioli,Conference Paper,IGARSS 2025 - 2025 IEEE International Geoscience and Remote Sensing Symposium,,,3588-3591,10.1109/IGARSS55030.2025.11243038,2-s2.0-105034117757,https://www.scopus.com/pages/publications/105034117757,https://research.aalto.fi/en/publications/an-open-access-cross-modal-forest-benchmark-training-dataset-with/,verified_scopus,Aalto research portal exposes direct Scopus URL and AN=SCOPUS:105034117757.,yes,
scopus-10-1016-j-oceaneng-2025-122258,2025,2025-11-30,Assessment of bimodal sea states by the wave buoy analogy method,Vincenzo Piscopo; Silvia Ascione; Antonio Scamardella,Vincenzo Piscopo; Antonio Scamardella,Journal Article,Ocean Engineering,340,Part 1,122258,10.1016/j.oceaneng.2025.122258,,,https://www.sciencedirect.com/author/6507257720/v-piscopo,verified_scopus,ScienceDirect author page provides “View details in Scopus”; OUCI independently labels the record Scopus.,yes,
scopus-10-1038-s41598-025-00653-8,2025,2025-05-12,Augustus’ solar meridian functioning and the birth of the western leap year,V. Baiocchi; M. Baumgartner; M. Barbarella; M. T. D’Alessio; Silvio Del Pizzo; F. Giannone; F. Radicioni; A. Stoppini; G. Tosi; Salvatore Troisi; L. Alessandri,Silvio Del Pizzo; Salvatore Troisi,Journal Article,Scientific Reports,15,,16463,10.1038/s41598-025-00653-8,,,https://research.rug.nl/en/publications/augustus-solar-meridian-functioning-and-the-birth-of-the-western-/,verified_scopus_indirect,University of Groningen research portal reports Scopus citation data for this record.,yes,
scopus-10-3233-pmst250035,2025,2025-08-12,Development and Application of a Numerical Model for Ship Manoeuvring in Regular and Irregular Waves,Maria Acanfora; Silvia Pennino; Antonio Scamardella,Silvia Pennino; Antonio Scamardella,Conference Paper / Book Chapter,Technology and Science for the Ships of the Future,,,,10.3233/PMST250035,,,https://journals.sagepub.com/doi/10.3233/PMST250035,pending_scopus,Publisher record confirmed; direct Scopus record/EID not yet retrieved.,no,
scopus-10-1109-lgrs-2025-3577907,2025,,Enhanced Deep Learning SAR Despeckling Networks Based on SAR Assessing Metrics,Sergio Vitale; Giampaolo Ferraioli; Vito Pascazio; Luis Gomez Deniz,Giampaolo Ferraioli,Journal Article,IEEE Geoscience and Remote Sensing Letters,22,,4009305,10.1109/LGRS.2025.3577907,,,https://accedacris.ulpgc.es/handle/10553/141828,probable_scopus,"Published in IEEE GRSL; public CRIS confirms metadata, but no direct Scopus EID was exposed in the retrieved record.",no,Keep pending until direct Scopus confirmation/EID is obtained.
scopus-10-1109-lgrs-2025-3580932,2025,2025-07-17,Erratum to “A deep learning solution for phase screen estimation in SAR tomography”,Hossein Aghababaei; Giampaolo Ferraioli; Sergio Vitale; Alfred Stein,Giampaolo Ferraioli,Erratum,IEEE Geoscience and Remote Sensing Letters,22,,1-1,10.1109/LGRS.2025.3580932,,,https://research.utwente.nl/en/publications/erratum-to-a-deep-learning-solution-for-phase-screen-estimation-i/,probable_scopus,Twente record links the parent publication to Scopus; direct Scopus identifier for the erratum was not exposed.,no,Pending direct Scopus confirmation.
scopus-10-1109-mgrs-2025-3612752,2025,2025-12-17,IEEE Geoscience and Remote Sensing Society Awards Presented at the IEEE International Geoscience and Remote Sensing Symposium 2025 Awards Reception and Ceremony,Francesca Bovolo; Jaya Sreevalsan-Nair; Antonio Plaza; Alberto Moreira; Giampaolo Ferraioli; Claudio Persello,Giampaolo Ferraioli,Conference Report,IEEE Geoscience and Remote Sensing Magazine,13,,444-454,10.1109/MGRS.2025.3612752,,,https://elib.dlr.de/222017/,verified_scopus,DLR publication record explicitly states “In SCOPUS: Ja”.,yes,Non-research conference report; retain with document_type so it can be filtered if desired.
scopus-10-1109-mgrs-2025-3599367,2025,2025-12,"IGARSS 2025 in Brisbane, Australia: Impressions of the First Days",Alberto Moreira; Francesca Bovolo; Jaya Sreevalsan-Nair; Giampaolo Ferraioli,Giampaolo Ferraioli,Conference Report,IEEE Geoscience and Remote Sensing Magazine,13,4,430-443,10.1109/MGRS.2025.3599367,,,https://elib.dlr.de/218787/,verified_scopus,DLR publication record explicitly states “In SCOPUS: Ja”.,yes,Non-research conference report; retain with document_type so it can be filtered if desired.
scopus-10-3233-pmst250112,2025,2025-08-12,Incidence of Rank Correlation Algorithm on the Assessment of Bimodal Sea State Conditions Based on Ship Motion Analysis,Vincenzo Piscopo; Antonio Scamardella,Vincenzo Piscopo; Antonio Scamardella,Conference Paper / Book Chapter,Technology and Science for the Ships of the Future,,,,10.3233/PMST250112,,,https://journals.sagepub.com/doi/10.3233/PMST250112,pending_scopus,Publisher record confirmed; direct Scopus record/EID not yet retrieved.,no,
scopus-10-33012-2025-19984,2025,,The G4 Solar Storm of May 2024: Impact on the GNSS carrier-phase measurements,Giovanni Cappello; Ciro Gioia; Antonio Angrisano; Gabriele Portelli; Salvatore Gaglione,Salvatore Gaglione,Conference Paper,"Proceedings of the International Technical Meeting of The Institute of Navigation, ITM",,,,10.33012/2025.19984,2-s2.0-105001675036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001675036&doi=10.33012%2f2025.19984&partnerID=40&md5=739f848160bb42247f9941f85f76ae90,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001675036&doi=10.33012%2f2025.19984&partnerID=40&md5=739f848160bb42247f9941f85f76ae90,verified_scopus,Direct Scopus inward URL/EID stored in the legacy Drupal record.,yes,Recovered from Drupal 2025; treated as Scopus source for the new master.
scopus-10-1109-metroaerospace64938-2025-11114637,2025,,The Galileo-based UAV velocity: Doppler and Time-Differenced Carrier Phase,Giovanni Cappello; Ciro Gioia; Andrea Piccolo; Antonio Angrisano; Salvatore Gaglione,Salvatore Gaglione,Conference Paper,"2025 IEEE International Workshop on Metrology for AeroSpace, MetroAeroSpace 2025 - Proceedings",,,,10.1109/MetroAeroSpace64938.2025.11114637,2-s2.0-105015510478,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015510478&doi=10.1109%2fMetroAeroSpace64938.2025.11114637&partnerID=40&md5=7eb302fc7d501619ffc0077b7e307cfc,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015510478&doi=10.1109%2fMetroAeroSpace64938.2025.11114637&partnerID=40&md5=7eb302fc7d501619ffc0077b7e307cfc,verified_scopus,Direct Scopus inward URL/EID stored in the legacy Drupal record.,yes,Recovered from Drupal 2025; treated as Scopus source for the new master.
scopus-10-33012-2025-19974,2025,,The synthetic meta-signal observations: a multipath resistance assessment,Giovanni Cappello; Ciro Gioia; Antonio Angrisano; Salvatore Gaglione,Salvatore Gaglione,Conference Paper,"Proceedings of the International Technical Meeting of The Institute of Navigation, ITM",,,,10.33012/2025.19974,2-s2.0-105001668620,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001668620&doi=10.33012%2f2025.19974&partnerID=40&md5=e3784e375792ec1833f2de6d00e0ea7b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001668620&doi=10.33012%2f2025.19974&partnerID=40&md5=e3784e375792ec1833f2de6d00e0ea7b,verified_scopus,Direct Scopus inward URL/EID stored in the legacy Drupal record.,yes,Recovered from Drupal 2025; treated as Scopus source for the new master.
scopus-10-3390-agriengineering7040120,2025,2025-04,"Tomato Leaf Detection, Segmentation, and Extraction in Real-Time Environment for Accurate Disease Detection",Shahab Ul Islam; Giampaolo Ferraioli; Vito Pascazio,Giampaolo Ferraioli,Journal Article,AgriEngineering,7,4,120,10.3390/agriengineering7040120,,,https://ouci.dntb.gov.ua/en/works/l111xP2y/,verified_scopus,OUCI record explicitly marks the article as indexed in Scopus.,yes,
scopus-10-3390-engproc2025088014,2025,,Toward Context-Aware GNSS Positioning: A Preliminary Analysis,Giovanni Cappello; Antonio Maratea; Ciro Gioia; Antonio Angrisano; Silvio Del Pizzo; Salvatore Gaglione,Silvio Del Pizzo; Salvatore Gaglione,Journal Article,Engineering Proceedings,88,,,10.3390/engproc2025088014,2-s2.0-105023666393,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023666393&doi=10.3390%2fengproc2025088014&partnerID=40&md5=062a75da7c74085f6b1f50a1bc441882,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023666393&doi=10.3390%2fengproc2025088014&partnerID=40&md5=062a75da7c74085f6b1f50a1bc441882,verified_scopus,Direct Scopus inward URL/EID stored in the legacy Drupal record.,yes,Recovered from Drupal 2025; treated as Scopus source for the new master.
scopus-10-5194-isprs-archives-xlviii-2-w10-2025-207-2025,2025,2025-07-07,Underwater optical metrology for precision monitoring of marine habitats: the MANATEE project,Erica Nocerino; Fabio Menna; Alessio Calantropio; Federico Pinna; Silvio Del Pizzo; Simone Farina; Alessia Giaquinto; Alessandro Lambertini; Massimiliano Menghini; Shahriar Mokhtari; Federica Ragazzola; Salvatore Troisi; Luca Vittuari,Silvio Del Pizzo; Salvatore Troisi,Conference Paper,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",XLVIII-2/W10-2025,,207-214,10.5194/isprs-archives-XLVIII-2-W10-2025-207-2025,,,https://isprs-archives.copernicus.org/articles/XLVIII-2-W10-2025/207/2025/index.html,pending_scopus,Bibliographic record confirmed by publisher; direct Scopus record/EID not yet retrieved.,no,
scopus-10-5194-isprs-archives-xlviii-2-w10-2025-47-2025,2025,2025-07-07,Underwater synthetic image generation for multi-temporal monitoring of crustose coralline algae,Alessio Calantropio; Alessia Giaquinto; Silvio Del Pizzo; Fabio Menna; Erica Nocerino,Silvio Del Pizzo,Conference Paper,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",XLVIII-2/W10-2025,,47-54,10.5194/isprs-archives-XLVIII-2-W10-2025-47-2025,,,https://isprs-archives.copernicus.org/articles/XLVIII-2-W10-2025/47/2025/isprs-archives-XLVIII-2-W10-2025-47-2025.html,pending_scopus,Bibliographic record confirmed by publisher; direct Scopus record/EID not yet retrieved.,no,
